source,target,aspect_intercell_source,aspect_intercell_target,category_intercell_source,category_intercell_target,category_source_intercell_source,category_source_intercell_target,consensus_direction,consensus_inhibition,consensus_score_intercell_source,consensus_score_intercell_target,consensus_stimulation,curation_effort,database_intercell_source,database_intercell_target,dip_url,entity_type_intercell_source,entity_type_intercell_target,is_inhibition,is_stimulation,n_primary_sources,n_references,n_sources,parent_intercell_source,parent_intercell_target,plasma_membrane_peripheral_intercell_source,plasma_membrane_peripheral_intercell_target,plasma_membrane_transmembrane_intercell_source,plasma_membrane_transmembrane_intercell_target,receiver_intercell_source,receiver_intercell_target,references,references_stripped,scope_intercell_source,scope_intercell_target,secreted_intercell_source,secreted_intercell_target,sources,transmitter_intercell_source,transmitter_intercell_target,type,uniprot_intercell_source,uniprot_intercell_target
EFNB2,PECAM1,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,6,7,False,5,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,False,9,1,13,ligand,receptor,False,False,True,True,False,True,Baccin2019:16357318;CellTalkDB:16357318;HPRD:16357318;LRdb:16357318;connectomeDB2020:16357318,16357318,generic,generic,False,False,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,True,False,post_translational,P52799,P16284
KDR,PECAM1,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,1,7,True,0,,Almen2009;CellCellInteractions;HGNC;HPMR;Surfaceome;OmniPath,,protein,protein,False,True,1,,1,ligand,receptor,False,False,True,True,False,True,,,generic,generic,True,False,Wang,True,False,post_translational,P35968,P16284
NOTCH1,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,1,16,True,0,Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,,1,ligand,receptor,False,False,True,True,False,True,,,generic,generic,False,True,Wang,True,False,post_translational,P46531,P00533
IGF1,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,16,True,1,Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Guide2Pharma;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR;Wang,True,False,post_translational,P05019,P00533
HGF,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,16,True,2,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;LRdb;OmniPath,,protein,protein,False,True,3,2,4,ligand,receptor,False,False,False,True,False,True,ProtMapper:23438512;SIGNOR:17306385,17306385;23438512,generic,generic,True,True,ProtMapper;SIGNOR;Sparser_ProtMapper;Wang,True,False,post_translational,P14210,P00533
FGF1,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,16,True,2,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Surfaceome;Ramilowski2015;Kirouac2010;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,7,2,9,ligand,receptor,False,False,False,True,False,True,CellTalkDB:32196115;SIGNOR:17306385,17306385;32196115,generic,generic,True,True,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;SIGNOR;STRING_talklr;Wang;iTALK;talklr,True,False,post_translational,P05230,P00533
FGF2,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,16,True,1,,iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR;Wang,True,False,post_translational,P09038,P00533
ANGPT1,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,16,True,1,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;HPMR;ICELLNET;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;SignaLink_function;OmniPath,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,Q15389,P00533
ICAM1,EGFR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,6,16,True,4,,iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,,protein,protein,False,True,9,1,12,ligand,receptor,False,False,True,True,False,True,CellTalkDB:16799092;HPRD:16799092;InnateDB:16799092;LRdb:16799092,16799092,generic,generic,False,True,CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb;Ramilowski2015;Wang;iTALK;talklr,True,False,post_translational,P05362,P00533
IGF1,KIT,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,15,True,1,Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Ramilowski2015;Kirouac2010;Guide2Pharma;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P05019,P10721
HGF,KIT,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P14210,P10721
FGF1,KIT,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P05230,P10721
FGF2,KIT,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,P09038,P10721
ANGPT1,KIT,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,15,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,False,SIGNOR,True,False,post_translational,Q15389,P10721
FGF2,SDC3,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,13,7,False,8,,,,protein,protein,False,False,9,3,14,ligand,receptor,False,False,False,True,False,True,Baccin2019:16982797;Baccin2019:8344959;CellTalkDB:16982797;HPRD:16982797;HPRD:8344959;LRdb:16982797;LRdb:83;connectomeDB2020:8344959,16982797;83;8344959,generic,generic,True,False,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,True,False,post_translational,P09038,O75056
IGF1,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,14,13,True,1,iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;Ramilowski2015;Guide2Pharma;DGIdb;LRdb;Baccin2019;OmniPath,,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR;Wang,True,False,post_translational,P05019,P35968
IL6,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,15,13,True,0,,,,protein,protein,False,True,1,,1,ligand,receptor,False,False,False,True,False,True,,,generic,generic,True,True,Wang,True,False,post_translational,P05231,P35968
HGF,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,12,13,True,1,,,,protein,protein,False,True,2,1,2,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR;Wang,True,False,post_translational,P14210,P35968
FGF1,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,13,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P05230,P35968
FGF2,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,13,13,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,P09038,P35968
ANGPT1,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,True,False,10,13,True,1,,,,protein,protein,False,True,1,1,1,ligand,receptor,False,False,False,True,False,True,SIGNOR:17306385,17306385,generic,generic,True,True,SIGNOR,True,False,post_translational,Q15389,P35968
FLT4,KDR,functional,functional,ligand,receptor,resource_specific,resource_specific,False,False,1,13,False,4,,,,protein,protein,False,False,4,4,4,ligand,receptor,False,False,True,True,False,True,HPRD:15474514;IntAct:16530705;IntAct:20224550;IntAct:21130043,15474514;16530705;20224550;21130043,generic,generic,True,True,HPRD;IntAct;Li2012;PhosphoPoint,True,False,post_translational,P35916,P35968
